crime,number,date,location,beat,neighborhood,npu,lat,long,Month,Day,Year,latLong,name,rating,vicinity,price level,user_ratings_total,store count,new_column
BURGLARY-RESIDENCE,163642460,12/29/2016,1028 SANDERS AVE SE,606,Ormewood Park,W,33.74,-84.35,12,29,2016,"33.74,-84.35",,,,,,3,store count
BURGLARY-RESIDENCE,163611268,12/26/2016,673 BROWNWOOD AVE SE,612,East Atlanta,W,33.74,-84.35,12,26,2016,"33.74,-84.35",,,,,,3,store count
BURGLARY-RESIDENCE,163611778,12/26/2016,688 MORELAND AVE SE,612,East Atlanta,W,33.74,-84.35,12,26,2016,"33.74,-84.35",,,,,,3,store count
BURGLARY-RESIDENCE,163581018,12/23/2016,634 GRESHAM AVE SE,612,East Atlanta,W,33.74,-84.35,12,23,2016,"33.74,-84.35",,,,,,3,store count
BURGLARY-RESIDENCE,163552375,12/20/2016,1032 SANDERS AVE SE,606,Ormewood Park,W,33.74,-84.35,12,20,2016,"33.74,-84.35",,,,,,3,store count
BURGLARY-RESIDENCE,161012306,04/10/2016,1151 MORELAND PL SE,607,Ormewood Park,W,33.74,-84.35,4,10,2016,"33.74,-84.35",,,,,,3,store count
BURGLARY-RESIDENCE,161461114,05/25/2016,577 HEMLOCK CIR SE,607,Ormewood Park,W,33.74,-84.35,5,25,2016,"33.74,-84.35",,,,,,3,store count
BURGLARY-RESIDENCE,161772389,06/25/2016,1090 LORING ST SE,607,Ormewood Park,W,33.74,-84.35,6,25,2016,"33.74,-84.35",,,,,,3,store count
BURGLARY-RESIDENCE,162030115,07/21/2016,290 STOVALL ST SE,606,Ormewood Park,W,33.74,-84.35,7,21,2016,"33.74,-84.35",,,,,,3,store count
BURGLARY-RESIDENCE,161960946,07/14/2016,976 N ORMEWOOD PARK DR SE,606,Ormewood Park,W,33.74,-84.35,7,14,2016,"33.74,-84.35",,,,,,3,store count
BURGLARY-RESIDENCE,162292893,08/17/2016,558 MORELAND AVENUE SE,612,East Atlanta,W,33.74,-84.35,8,17,2016,"33.74,-84.35",,,,,,3,store count
BURGLARY-RESIDENCE,162283002,08/15/2016,1131 GLENWOOD AVE SE,607,Ormewood Park,W,33.74,-84.35,8,15,2016,"33.74,-84.35",,,,,,3,store count
BURGLARY-RESIDENCE,162172574,08/04/2016,390 STOVALL ST SE,606,Ormewood Park,W,33.74,-84.35,8,4,2016,"33.74,-84.35",,,,,,3,store count
BURGLARY-RESIDENCE,162172680,08/04/2016,390 STOVALL ST SE,606,Ormewood Park,W,33.74,-84.35,8,4,2016,"33.74,-84.35",,,,,,3,store count
BURGLARY-RESIDENCE,162171607,08/04/2016,588 WARWICK ST SE,607,Ormewood Park,W,33.74,-84.35,8,4,2016,"33.74,-84.35",,,,,,3,store count
BURGLARY-RESIDENCE,162730043,09/29/2016,1152 PORTLAND AVE SE,607,Ormewood Park,W,33.74,-84.35,9,29,2016,"33.74,-84.35",,,,,,3,store count
BURGLARY-RESIDENCE,162632207,09/19/2016,1205 METROPOLITAN AVE SE,612,East Atlanta,W,33.74,-84.35,9,19,2016,"33.74,-84.35",,,,,,3,store count
BURGLARY-RESIDENCE,162581815,09/14/2016,1152 PORTLAND AVE SE,607,Ormewood Park,W,33.74,-84.35,9,14,2016,"33.74,-84.35",,,,,,3,store count
BURGLARY-RESIDENCE,163022017,10/28/2016,921 WESTMORELAND CIR NW,110,West Highlands,G,33.79,-84.45,10,28,2016,"33.79,-84.45",,,,,,4,store count
BURGLARY-RESIDENCE,162940922,10/20/2016,1973 JONES AVE NW,110,West Highlands,G,33.79,-84.45,10,20,2016,"33.79,-84.45",,,,,,4,store count
BURGLARY-RESIDENCE,162871485,10/13/2016,1954 EAST AVE NW,110,Grove Park,J,33.79,-84.45,10,13,2016,"33.79,-84.45",,,,,,4,store count
BURGLARY-RESIDENCE,163290007,11/24/2016,1783 JOHNSON RD NW,110,Rockdale,G,33.79,-84.45,11,24,2016,"33.79,-84.45",,,,,,4,store count
BURGLARY-RESIDENCE,160273195,01/27/2016,921 WESTMORELAND CIR NW,110,West Highlands,G,33.79,-84.45,1,27,2016,"33.79,-84.45",,,,,,4,store count
BURGLARY-RESIDENCE,163491491,12/14/2016,1977 JONES AVE NW,110,West Highlands,G,33.79,-84.45,12,14,2016,"33.79,-84.45",,,,,,4,store count
BURGLARY-RESIDENCE,160432946,02/12/2016,921 WESTMORELAND CIR NW,110,West Highlands,G,33.79,-84.45,2,12,2016,"33.79,-84.45",,,,,,4,store count
BURGLARY-RESIDENCE,160341677,02/03/2016,1694 JONES AVE NW,110,Grove Park,J,33.79,-84.45,2,3,2016,"33.79,-84.45",,,,,,4,store count
BURGLARY-RESIDENCE,160882800,03/28/2016,921 WESTMORELAND CIR NW,110,West Highlands,G,33.79,-84.45,3,28,2016,"33.79,-84.45",,,,,,4,store count
BURGLARY-RESIDENCE,160842779,03/24/2016,921 WESTMORELAND CIR NW,110,West Highlands,G,33.79,-84.45,3,24,2016,"33.79,-84.45",,,,,,4,store count
BURGLARY-RESIDENCE,160842961,03/24/2016,1717 WILLMA DR NW,110,West Highlands,G,33.79,-84.45,3,24,2016,"33.79,-84.45",,,,,,4,store count
BURGLARY-RESIDENCE,160822595,03/22/2016,921 WESTMORELAND CIR NW,110,West Highlands,G,33.79,-84.45,3,22,2016,"33.79,-84.45",,,,,,4,store count
BURGLARY-RESIDENCE,161581431,06/06/2016,1706 WILLMA DR NW,110,West Highlands,G,33.79,-84.45,6,6,2016,"33.79,-84.45",,,,,,4,store count
BURGLARY-RESIDENCE,162021952,07/20/2016,1903 DREW DR NW,110,West Highlands,G,33.79,-84.45,7,20,2016,"33.79,-84.45",,,,,,4,store count
BURGLARY-RESIDENCE,161862087,07/04/2016,921 WESTMORELAND CIR NW,110,West Highlands,G,33.79,-84.45,7,4,2016,"33.79,-84.45",,,,,,4,store count
BURGLARY-RESIDENCE,162381331,08/25/2016,1713 WILLMA DR NW,110,West Highlands,G,33.79,-84.45,8,25,2016,"33.79,-84.45",,,,,,4,store count
BURGLARY-RESIDENCE,162211562,08/08/2016,1903 DREW DR NW,110,West Highlands,G,33.79,-84.45,8,8,2016,"33.79,-84.45",,,,,,4,store count
BURGLARY-RESIDENCE,160090538,01/09/2016,1000 NORTHSIDE DR NW,501,Home Park,E,33.78,-84.41,1,9,2016,"33.78,-84.41",,,,,,4,store count
BURGLARY-RESIDENCE,160461410,02/15/2016,950 MARIETTA ST NW,504,Marietta Street Artery,E,33.78,-84.41,2,15,2016,"33.78,-84.41",,,,,,4,store count
BURGLARY-RESIDENCE,160431158,02/12/2016,935 MARIETTA ST NW,504,Marietta Street Artery,E,33.78,-84.41,2,12,2016,"33.78,-84.41",,,,,,4,store count
BURGLARY-RESIDENCE,160412155,02/10/2016,935 MARIETTA ST NW,504,Marietta Street Artery,E,33.78,-84.41,2,10,2016,"33.78,-84.41",,,,,,4,store count
BURGLARY-RESIDENCE,160322898,02/01/2016,950 MARIETTA ST NW,504,Marietta Street Artery,E,33.78,-84.41,2,1,2016,"33.78,-84.41",,,,,,4,store count
BURGLARY-RESIDENCE,161161634,04/25/2016,1000 NORTHSIDE DR NW,501,Home Park,E,33.78,-84.41,4,25,2016,"33.78,-84.41",,,,,,4,store count
BURGLARY-RESIDENCE,161162239,04/25/2016,1016 HOWELL MILL RD NW,501,Home Park,E,33.78,-84.41,4,25,2016,"33.78,-84.41",,,,,,4,store count
BURGLARY-RESIDENCE,161123029,04/21/2016,1016 HOWELL MILL RD NW,501,Home Park,E,33.78,-84.41,4,21,2016,"33.78,-84.41",,,,,,4,store count
BURGLARY-RESIDENCE,161810601,06/29/2016,1000 NORTHSIDE DR NW,501,Home Park,E,33.78,-84.41,6,29,2016,"33.78,-84.41",,,,,,4,store count
BURGLARY-RESIDENCE,161531474,06/01/2016,1000 NORTHSIDE DR NW,501,Home Park,E,33.78,-84.41,6,1,2016,"33.78,-84.41",,,,,,4,store count
BURGLARY-RESIDENCE,162081265,07/26/2016,950 MARIETTA ST NW,504,Marietta Street Artery,E,33.78,-84.41,7,26,2016,"33.78,-84.41",,,,,,4,store count
BURGLARY-RESIDENCE,162031959,07/21/2016,950 MARIETTA ST NW,504,Marietta Street Artery,E,33.78,-84.41,7,21,2016,"33.78,-84.41",,,,,,4,store count
BURGLARY-RESIDENCE,162032070,07/21/2016,950 MARIETTA ST NW,504,Marietta Street Artery,E,33.78,-84.41,7,21,2016,"33.78,-84.41",,,,,,4,store count
BURGLARY-RESIDENCE,162032183,07/21/2016,950 MARIETTA ST NW,504,Marietta Street Artery,E,33.78,-84.41,7,21,2016,"33.78,-84.41",,,,,,4,store count
BURGLARY-RESIDENCE,162002014,07/18/2016,950 MARIETTA ST NW,504,Marietta Street Artery,E,33.78,-84.41,7,18,2016,"33.78,-84.41",,,,,,4,store count
BURGLARY-RESIDENCE,161871191,07/05/2016,950 MARIETTA ST NW,504,Marietta Street Artery,E,33.78,-84.41,7,5,2016,"33.78,-84.41",,,,,,4,store count
BURGLARY-RESIDENCE,162632364,09/19/2016,950 MARIETTA ST NW,504,Marietta Street Artery,E,33.78,-84.41,9,19,2016,"33.78,-84.41",,,,,,4,store count
BURGLARY-RESIDENCE,162481413,10/10/2016,1444 BOULEVARD LORRAINE SW,409,Downtown,M,33.76,-84.39,10,10,2016,"33.76,-84.39",,,,,,4,store count
BURGLARY-RESIDENCE,163080819,11/03/2016,87 POPLAR ST NW,508,Downtown,M,33.76,-84.39,11,3,2016,"33.76,-84.39",,,,,,4,store count
BURGLARY-RESIDENCE,161810776,06/29/2016,355 PEACHTREE ST NE,509,Downtown,M,33.76,-84.39,6,29,2016,"33.76,-84.39",,,,,,4,store count
BURGLARY-RESIDENCE,162140830,08/01/2016,115 W PEACHTREE PL NW,508,Downtown,M,33.76,-84.39,8,1,2016,"33.76,-84.39",,,,,,4,store count
BURGLARY-RESIDENCE,162580391,09/14/2016,89 LUCKIE ST NW,508,Downtown,M,33.76,-84.39,9,14,2016,"33.76,-84.39",,,,,,4,store count
BURGLARY-RESIDENCE,162891594,10/15/2016,3871 REDWINE RD SW,414,Princeton Lakes,P,33.66,-84.51,10,15,2016,"33.66,-84.51",,,,,,3,store count
BURGLARY-RESIDENCE,162892289,10/15/2016,3725 PRINCETON LAKES PKWY SW,414,Princeton Lakes,P,33.66,-84.51,10,15,2016,"33.66,-84.51",,,,,,3,store count
BURGLARY-RESIDENCE,163161018,11/11/2016,3725 PRINCETON LAKES PKWY SW;,414,Princeton Lakes,P,33.66,-84.51,11,11,2016,"33.66,-84.51",,,,,,3,store count
BURGLARY-RESIDENCE,160262304,01/26/2016,3725 PRINCETON LAKES PKWY SW,414,Princeton Lakes,P,33.66,-84.51,1,26,2016,"33.66,-84.51",,,,,,3,store count
BURGLARY-RESIDENCE,160391896,02/08/2016,3725 PRINCETON LAKES PKWY SW,414,Princeton Lakes,P,33.66,-84.51,2,8,2016,"33.66,-84.51",,,,,,3,store count
BURGLARY-RESIDENCE,161170221,04/26/2016,3657 VENETIAN PL SW     ,414,Princeton Lakes,P,33.66,-84.51,4,26,2016,"33.66,-84.51",,,,,,3,store count
BURGLARY-RESIDENCE,161251731,05/04/2016,3725 PRINCETON LAKES PKWY SW,414,Princeton Lakes,P,33.66,-84.51,5,4,2016,"33.66,-84.51",,,,,,3,store count
BURGLARY-RESIDENCE,162001107,07/18/2016,3725 PRINCETON LAKES PKWY SW,414,Princeton Lakes,P,33.66,-84.51,7,18,2016,"33.66,-84.51",,,,,,3,store count
BURGLARY-RESIDENCE,162351839,08/22/2016,3725 PRINCETON LAKES PKWY SW,414,Princeton Lakes,P,33.66,-84.51,8,22,2016,"33.66,-84.51",,,,,,3,store count
BURGLARY-RESIDENCE,162351899,08/22/2016,3871 REDWINE RD SW,414,Princeton Lakes,P,33.66,-84.51,8,22,2016,"33.66,-84.51",,,,,,3,store count
BURGLARY-RESIDENCE,162352190,08/22/2016,3725 PRINCETON LAKES PKWY SW,414,Princeton Lakes,P,33.66,-84.51,8,22,2016,"33.66,-84.51",,,,,,3,store count
BURGLARY-RESIDENCE,162652302,09/21/2016,3871 REDWINE RD SW;,414,Princeton Lakes,P,33.66,-84.51,9,21,2016,"33.66,-84.51",,,,,,3,store count
BURGLARY-RESIDENCE,162981663,10/24/2016,230 JOHN WESLEY DOBBS AVE NE @JOHN HANCOCK BUILDI,510,Downtown,M,33.76,-84.38,10,24,2016,"33.76,-84.38",,,,,,3,store count
BURGLARY-RESIDENCE,163153327,11/10/2016,207 MCGILL PARK AVE NE,604,Old Fourth Ward,M,33.76,-84.38,11,10,2016,"33.76,-84.38",,,,,,3,store count
BURGLARY-RESIDENCE,160081199,01/08/2016,375 HIGHLAND AVE NE,604,Old Fourth Ward,M,33.76,-84.38,1,8,2016,"33.76,-84.38",,,,,,3,store count
BURGLARY-RESIDENCE,160040180,01/04/2016,171 AUBURN AVE NE,510,Downtown,M,33.76,-84.38,1,4,2016,"33.76,-84.38",,,,,,3,store count
BURGLARY-RESIDENCE,163432496,12/08/2016,371 IRWIN ST NE,604,Sweet Auburn,M,33.76,-84.38,12,8,2016,"33.76,-84.38",,,,,,3,store count
BURGLARY-RESIDENCE,163432799,12/08/2016,371 IRWIN ST NE,604,Sweet Auburn,M,33.76,-84.38,12,8,2016,"33.76,-84.38",,,,,,3,store count
BURGLARY-RESIDENCE,161222473,05/01/2016,375 HIGHLAND AVE NE,604,Old Fourth Ward,M,33.76,-84.38,5,1,2016,"33.76,-84.38",,,,,,3,store count
BURGLARY-RESIDENCE,161772665,06/25/2016,412 MCGILL PL NE,603,Old Fourth Ward,M,33.76,-84.38,6,25,2016,"33.76,-84.38",,,,,,3,store count
BURGLARY-RESIDENCE,162432610,08/30/2016,112 COURTLAND ST NE,510,Downtown,M,33.76,-84.38,8,30,2016,"33.76,-84.38",,,,,,3,store count
BURGLARY-RESIDENCE,162323150,08/19/2016,112 COURTLAND ST NE,510,Downtown,M,33.76,-84.38,8,19,2016,"33.76,-84.38",,,,,,3,store count
BURGLARY-RESIDENCE,162560100,09/12/2016,112 COURTLAND ST NE,510,Downtown,M,33.76,-84.38,9,12,2016,"33.76,-84.38",,,,,,3,store count
BURGLARY-RESIDENCE,162511322,09/07/2016,112 COURTLAND ST NE,510,Downtown,M,33.76,-84.38,9,7,2016,"33.76,-84.38",,,,,,3,store count
BURGLARY-RESIDENCE,163050418,10/31/2016,415 FAIRBURN RD SW,407,Fairburn Mays,H,33.74,-84.51,10,31,2016,"33.74,-84.51",,,,,,4,store count
BURGLARY-RESIDENCE,160301738,01/30/2016,748 CELESTE LN SW,407,Mays,H,33.74,-84.51,1,30,2016,"33.74,-84.51",,,,,,4,store count
BURGLARY-RESIDENCE,160293392,01/29/2016,730 CELESTE LN SW,407,Mays,H,33.74,-84.51,1,29,2016,"33.74,-84.51",,,,,,4,store count
BURGLARY-RESIDENCE,160282124,01/28/2016,415 FAIRBURN RD SW,407,Fairburn Mays,H,33.74,-84.51,1,28,2016,"33.74,-84.51",,,,,,4,store count
BURGLARY-RESIDENCE,160193549,01/19/2016,415 FAIRBURN RD SW,407,Fairburn Mays,H,33.74,-84.51,1,19,2016,"33.74,-84.51",,,,,,4,store count
BURGLARY-RESIDENCE,160182352,01/18/2016,723 CELESTE LN SW,407,Mays,H,33.74,-84.51,1,18,2016,"33.74,-84.51",,,,,,4,store count
BURGLARY-RESIDENCE,160073094,01/07/2016,841 ROZIE WAY SW,407,Mays,H,33.74,-84.51,1,7,2016,"33.74,-84.51",,,,,,4,store count
BURGLARY-RESIDENCE,163632351,12/28/2016,415 FAIRBURN RD SW,407,Fairburn Mays,H,33.74,-84.51,12,28,2016,"33.74,-84.51",,,,,,4,store count
BURGLARY-RESIDENCE,163592126,12/25/2016,624 PROVIDENCE PL SW,407,Mays,H,33.74,-84.51,12,25,2016,"33.74,-84.51",,,,,,4,store count
BURGLARY-RESIDENCE,163572217,12/22/2016,415 FAIRBURN RD SW,407,Fairburn Mays,H,33.74,-84.51,12,22,2016,"33.74,-84.51",,,,,,4,store count
BURGLARY-RESIDENCE,163562409,12/21/2016,707 CELESTE LN SW,407,Mays,H,33.74,-84.51,12,21,2016,"33.74,-84.51",,,,,,4,store count
BURGLARY-RESIDENCE,163542216,12/19/2016,700 CELESTE LN SW,407,Mays,H,33.74,-84.51,12,19,2016,"33.74,-84.51",,,,,,4,store count
BURGLARY-RESIDENCE,163401676,12/05/2016,610 PROVIDENCE PL SW,407,Mays,H,33.74,-84.51,12,5,2016,"33.74,-84.51",,,,,,4,store count
BURGLARY-RESIDENCE,160572156,02/26/2016,415 FAIRBURN RD SW,407,Fairburn Mays,H,33.74,-84.51,2,26,2016,"33.74,-84.51",,,,,,4,store count
BURGLARY-RESIDENCE,160451196,02/14/2016,618 PROVIDENCE PL SW,407,Mays,H,33.74,-84.51,2,14,2016,"33.74,-84.51",,,,,,4,store count
BURGLARY-RESIDENCE,160901720,03/30/2016,415 FAIRBURN RD SW @HIDDEN HOLLOW APTS,407,Fairburn Mays,H,33.74,-84.51,3,30,2016,"33.74,-84.51",,,,,,4,store count
BURGLARY-RESIDENCE,160651612,03/05/2016,415 FAIRBURN RD SW,407,Fairburn Mays,H,33.74,-84.51,3,5,2016,"33.74,-84.51",,,,,,4,store count
BURGLARY-RESIDENCE,160623213,03/02/2016,708 CELESTE LN SW,407,Mays,H,33.74,-84.51,3,2,2016,"33.74,-84.51",,,,,,4,store count
BURGLARY-RESIDENCE,161181815,04/27/2016,415 FAIRBURN RD SW,407,Fairburn Mays,H,33.74,-84.51,4,27,2016,"33.74,-84.51",,,,,,4,store count
BURGLARY-RESIDENCE,161063141,04/15/2016,415 FAIRBURN RD SW,407,Fairburn Mays,H,33.74,-84.51,4,15,2016,"33.74,-84.51",,,,,,4,store count
BURGLARY-RESIDENCE,161341569,05/13/2016,823 CELESTE LN SW,407,Mays,H,33.74,-84.51,5,13,2016,"33.74,-84.51",,,,,,4,store count
BURGLARY-RESIDENCE,161291813,05/08/2016,415 FAIRBURN RD SW,407,Fairburn Mays,H,33.74,-84.51,5,8,2016,"33.74,-84.51",,,,,,4,store count
BURGLARY-RESIDENCE,161291122,05/08/2016,618 PROVIDENCE PL SW,407,Mays,H,33.74,-84.51,5,8,2016,"33.74,-84.51",,,,,,4,store count
BURGLARY-RESIDENCE,161921857,07/10/2016,824 CELESTE LN SW,407,Mays,H,33.74,-84.51,7,10,2016,"33.74,-84.51",,,,,,4,store count
BURGLARY-RESIDENCE,162362501,08/23/2016,736 CELESTE LN SW,407,Mays,H,33.74,-84.51,8,23,2016,"33.74,-84.51",,,,,,4,store count
BURGLARY-RESIDENCE,162210761,08/08/2016,415 FAIRBURN RD SW,407,Fairburn Mays,H,33.74,-84.51,8,8,2016,"33.74,-84.51",,,,,,4,store count
BURGLARY-RESIDENCE,162163181,08/03/2016,415 FAIRBURN RD SW,407,Fairburn Mays,H,33.74,-84.51,8,3,2016,"33.74,-84.51",,,,,,4,store count
BURGLARY-RESIDENCE,162700234,09/26/2016,821 CELESTE LN SW,407,Mays,H,33.74,-84.51,9,26,2016,"33.74,-84.51",,,,,,4,store count
BURGLARY-RESIDENCE,162551319,09/11/2016,735 CELESTE LN SW,407,Mays,H,33.74,-84.51,9,11,2016,"33.74,-84.51",,,,,,4,store count
BURGLARY-RESIDENCE,162770870,10/03/2016,49 BOULEVARD SE,604,Sweet Auburn,M,33.75,-84.37,10,3,2016,"33.75,-84.37",,,,,,3,store count
BURGLARY-RESIDENCE,160252918,01/25/2016,499 WOODWARD AVE SE,605,Grant Park,W,33.75,-84.37,1,25,2016,"33.75,-84.37",,,,,,3,store count
BURGLARY-RESIDENCE,160123071,01/12/2016,626 DEKALB AVE SE,604,Old Fourth Ward,M,33.75,-84.37,1,12,2016,"33.75,-84.37",,,,,,3,store count
BURGLARY-RESIDENCE,163391727,12/04/2016,55 BRADLEY ST SE,604,Old Fourth Ward,M,33.75,-84.37,12,4,2016,"33.75,-84.37",,,,,,3,store count
BURGLARY-RESIDENCE,160341729,02/03/2016,49 BOULEVARD SE,604,Sweet Auburn,M,33.75,-84.37,2,3,2016,"33.75,-84.37",,,,,,3,store count
BURGLARY-RESIDENCE,160881824,03/28/2016,49 BOULEVARD SE,604,Sweet Auburn,M,33.75,-84.37,3,28,2016,"33.75,-84.37",,,,,,3,store count
BURGLARY-RESIDENCE,161510915,05/30/2016,49 BOULEVARD SE,604,Sweet Auburn,M,33.75,-84.37,5,30,2016,"33.75,-84.37",,,,,,3,store count
BURGLARY-RESIDENCE,161501590,05/29/2016,49 BOULEVARD SE,604,Sweet Auburn,M,33.75,-84.37,5,29,2016,"33.75,-84.37",,,,,,3,store count
BURGLARY-RESIDENCE,161441621,05/23/2016,49 BOULEVARD SE,604,Sweet Auburn,M,33.75,-84.37,5,23,2016,"33.75,-84.37",,,,,,3,store count
BURGLARY-RESIDENCE,162111851,07/29/2016,56 BOULEVARD SE,604,Old Fourth Ward,M,33.75,-84.37,7,29,2016,"33.75,-84.37",,,,,,3,store count
BURGLARY-RESIDENCE,162020655,07/20/2016,626 DEKALB AVE SE,604,Old Fourth Ward,M,33.75,-84.37,7,20,2016,"33.75,-84.37",,,,,,3,store count
BURGLARY-RESIDENCE,162141477,08/01/2016,49 BOULEVARD SE,604,Sweet Auburn,M,33.75,-84.37,8,1,2016,"33.75,-84.37",,,,,,3,store count
BURGLARY-RESIDENCE,162141859,08/01/2016,49 BOULEVARD SE,604,Sweet Auburn,M,33.75,-84.37,8,1,2016,"33.75,-84.37",,,,,,3,store count
BURGLARY-RESIDENCE,163050681,10/31/2016,72 LANNON AVE NE,611,East Lake,O,33.75,-84.3,10,31,2016,"33.75,-84.3",,,,,,4,store count
BURGLARY-RESIDENCE,162940836,10/20/2016,160 CARTER AVE SE,611,East Lake,O,33.75,-84.3,10,20,2016,"33.75,-84.3",,,,,,4,store count
BURGLARY-RESIDENCE,163351032,11/30/2016,44 SPENCE AVE SE,611,East Lake,O,33.75,-84.3,11,30,2016,"33.75,-84.3",,,,,,4,store count
BURGLARY-RESIDENCE,160042455,01/04/2016,2648 TUPELO ST SE,611,East Lake,O,33.75,-84.3,1,4,2016,"33.75,-84.3",,,,,,4,store count
BURGLARY-RESIDENCE,163511872,12/16/2016,2744 TUPELO ST SE,611,East Lake,O,33.75,-84.3,12,16,2016,"33.75,-84.3",,,,,,4,store count
BURGLARY-RESIDENCE,160781979,03/18/2016,73 DANIEL AVE NE,611,East Lake,O,33.75,-84.3,3,18,2016,"33.75,-84.3",,,,,,4,store count
BURGLARY-RESIDENCE,160703092,03/10/2016,165 E LAKE DR SE,611,East Lake,O,33.75,-84.3,3,10,2016,"33.75,-84.3",,,,,,4,store count
BURGLARY-RESIDENCE,160931007,04/02/2016,2661 PHARR RD NE,611,East Lake,O,33.75,-84.3,4,2,2016,"33.75,-84.3",,,,,,4,store count
BURGLARY-RESIDENCE,162081393,07/26/2016,2766 ALSTON DR SE,611,East Lake,O,33.75,-84.3,7,26,2016,"33.75,-84.3",,,,,,4,store count
BURGLARY-RESIDENCE,162031621,07/21/2016,246 DANIEL AVE SE,611,East Lake,O,33.75,-84.3,7,21,2016,"33.75,-84.3",,,,,,4,store count
BURGLARY-RESIDENCE,161942464,07/12/2016,2766 ALSTON DR SE,611,East Lake,O,33.75,-84.3,7,12,2016,"33.75,-84.3",,,,,,4,store count
BURGLARY-RESIDENCE,161920619,07/10/2016,2806 ALSTON DR SE,611,East Lake,O,33.75,-84.3,7,10,2016,"33.75,-84.3",,,,,,4,store count
BURGLARY-RESIDENCE,162630641,09/19/2016,2795 MEMORIAL DR SE,611,East Lake,O,33.75,-84.3,9,19,2016,"33.75,-84.3",,,,,,4,store count
BURGLARY-RESIDENCE,162611066,09/17/2016,161 DANIEL AVE SE,611,East Lake,O,33.75,-84.3,9,17,2016,"33.75,-84.3",,,,,,4,store count
BURGLARY-RESIDENCE,160180959,01/18/2016,977 FAITH AVE SE,606,Ormewood Park,W,33.74,-84.36,1,18,2016,"33.74,-84.36",,,,,,3,store count
BURGLARY-RESIDENCE,160123046,01/12/2016,974 N ORMEWOOD PARK DR SE,606,Ormewood Park,W,33.74,-84.36,1,12,2016,"33.74,-84.36",,,,,,3,store count
BURGLARY-RESIDENCE,160603137,02/29/2016,497 GLENWOOD PL SE,606,Ormewood Park,W,33.74,-84.36,2,29,2016,"33.74,-84.36",,,,,,3,store count
BURGLARY-RESIDENCE,160471372,02/16/2016,880 GLENWOOD AVE SE,606,Grant Park,W,33.74,-84.36,2,16,2016,"33.74,-84.36",,,,,,3,store count
BURGLARY-RESIDENCE,160391646,02/08/2016,626 ELOISE ST SE,605,Grant Park,W,33.74,-84.36,2,8,2016,"33.74,-84.36",,,,,,3,store count
BURGLARY-RESIDENCE,160832417,03/23/2016,514 CAMERON ST SE,605,Grant Park,W,33.74,-84.36,3,23,2016,"33.74,-84.36",,,,,,3,store count
BURGLARY-RESIDENCE,161612427,06/09/2016,880 GLENWOOD AVE SE,606,Grant Park,W,33.74,-84.36,6,9,2016,"33.74,-84.36",,,,,,3,store count
BURGLARY-RESIDENCE,161542335,06/02/2016,693 BERNE ST SE,605,Grant Park,W,33.74,-84.36,6,2,2016,"33.74,-84.36",,,,,,3,store count
BURGLARY-RESIDENCE,161542414,06/02/2016,705 BERNE ST SE,605,Grant Park,W,33.74,-84.36,6,2,2016,"33.74,-84.36",,,,,,3,store count
BURGLARY-RESIDENCE,161930378,07/11/2016,969 N ORMEWOOD PARK DR SE,606,Ormewood Park,W,33.74,-84.36,7,11,2016,"33.74,-84.36",,,,,,3,store count
