,Unnamed: 0,Month,Day,Crime Count,Avg_Temp,Humidity,Precip,Wind_Speed,Conditions,Index,crime,number,date,location,beat,neighborhood,npu,lat,long,Year,latLong,store count
25,22,3,5,1,48.2,60.54,0.0,8.1,Clear,13666,RAPE,160651696,03/05/2016,2734 SANTA BARBARA DRIVE NW ,112,Harland Terrace,I,33.75,-84.47,2016,"33.75,-84.47",4
26,23,3,6,1,53.5,47.53,0.0,11.0,Clear,13596,RAPE,160660833,03/06/2016,3434 PEACHTREE RD NE,208,North Buckhead,B,33.85,-84.36,2016,"33.85,-84.36",3
27,24,3,7,1,55.0,54.46,0.0,11.5,Partially cloudy,13525,RAPE,160670559,03/07/2016,65 JOSEPH E LOWERY BLVD NW @ASHBY STATION,102,Vine City,L,33.76,-84.42,2016,"33.76,-84.42",4
28,25,3,10,1,68.6,62.55,0.01,15.0,"Rain, Partially cloudy",13324,RAPE,160703123,03/10/2016,1314 PIEDMONT AVE NE,502,Ansley Park,E,33.79,-84.38,2016,"33.79,-84.38",3
29,26,3,11,1,69.3,70.46,0.0,9.2,Partially cloudy,13214,RAPE,160711598,03/11/2016,3390 FAIRBURN RD,414,Ben Hill,P,33.66,-84.52,2016,"33.66,-84.52",3
30,27,3,13,1,70.0,61.48,0.01,14.3,"Rain, Partially cloudy",13041,RAPE,160722770,03/13/2016,2950 MARTIN LUTHER KING JR DRIVE ,404,Harland Terrace,I,33.75,-84.48,2016,"33.75,-84.48",4
31,28,3,18,1,64.6,40.35,0.0,10.3,Partially cloudy,12718,RAPE,160773518,03/18/2016,950 NEW TOWN CIR,308,Thomasville Heights,Z,33.71,-84.36,2016,"33.71,-84.36",4
32,29,3,19,1,63.3,66.87,0.01,16.7,"Rain, Partially cloudy",12646,RAPE,160791372,03/19/2016,226 PEACHTREE ST SW,512,Downtown,M,33.75,-84.39,2016,"33.75,-84.39",3
33,30,3,21,1,45.7,48.36,0.0,16.7,Clear,12503,RAPE,160811521,03/21/2016,2037 LOIS PL NW,110,Grove Park,J,33.78,-84.45,2016,"33.78,-84.45",3
34,31,3,23,1,57.3,56.61,0.0,13.3,Partially cloudy,12401,RAPE,160832901,03/23/2016,3104 JONESBORO RD SE,313,South River Gardens,Z,33.67,-84.37,2016,"33.67,-84.37",3
35,32,3,28,1,63.4,67.3,0.02,14.4,"Rain, Partially cloudy",12044,RAPE,160881594,03/28/2016,3440 BOULDER PARK DR SW,407,Center Hill,J,33.78,-84.46,2016,"33.78,-84.46",4
36,33,4,4,1,60.9,47.3,0.0,12.7,Clear,15878,RAPE,160950382,04/04/2016,2025 PEACHTREE RD NE,207,,E,33.81,-84.39,2016,"33.81,-84.39",2
37,34,4,5,1,59.1,35.43,0.0,16.7,Clear,15785,RAPE,160960623,04/05/2016,508 MAIN ST NE,211,Lindbergh/Morosgo,B,33.82,-84.37,2016,"33.82,-84.37",2
38,35,4,9,1,52.5,35.2,0.0,23.0,Clear,15433,RAPE,161001390,04/09/2016,150 10TH ST,503,Midtown,E,33.78,-84.38,2016,"33.78,-84.38",3
39,36,4,11,1,58.2,70.46,0.38,9.7,"Rain, Partially cloudy",15323,RAPE,161010302,04/11/2016,216 EUGENIA ST,303,Mechanicsville,V,33.74,-84.39,2016,"33.74,-84.39",3
40,37,4,16,1,62.7,49.25,0.0,18.5,Partially cloudy,14992,RAPE,161063374,04/16/2016,850 PIEDMONT AVE,505,Midtown,E,33.78,-84.38,2016,"33.78,-84.38",3
41,38,4,17,1,60.7,46.0,0.0,12.8,Clear,14866,RAPE,161080501,04/17/2016,2202 ARBOR GATES DR NE,210,Pine Hills,B,33.83,-84.36,2016,"33.83,-84.36",3
42,39,4,20,2,70.6,48.61,0.0,10.2,Partially cloudy,14689,RAPE,161110483,04/20/2016,600 PHIPPS BLVD.,209,North Buckhead,B,33.85,-84.37,2016,"33.85,-84.37",3
43,39,4,20,2,70.6,48.61,0.0,10.2,Partially cloudy,14687,RAPE,161110272,04/20/2016,191 PEYTON PL,408,Harland Terrace,I,33.75,-84.48,2016,"33.75,-84.48",4
44,40,4,23,1,65.8,65.03,0.0,16.1,Clear,14440,RAPE,161140734,04/23/2016,3434 BROWNS MILL RD SW,313,Blair Villa/Poole Creek,Z,33.66,-84.38,2016,"33.66,-84.38",3
45,41,4,30,1,74.2,61.77,0.67,12.7,"Rain, Partially cloudy",13972,RAPE,161212089,04/30/2016,1074 PEACHTREE WALK NE,503,Midtown,E,33.78,-84.39,2016,"33.78,-84.39",4
46,42,5,6,1,58.1,54.81,0.0,19.0,Partially cloudy,18305,RAPE,161271841,05/06/2016,111 CLEVELAND ST SE,604,Reynoldstown,N,33.75,-84.35,2016,"33.75,-84.35",3
47,43,5,10,1,72.1,63.61,0.0,12.1,Partially cloudy,18038,RAPE,161302743,05/10/2016,6109 ALEXANDER CIRCLE,209,North Buckhead,B,33.85,-84.37,2016,"33.85,-84.37",3
48,44,5,14,2,68.2,53.65,0.0,21.4,Clear,17646,RAPE,161350540,05/14/2016,800 PEACHTREE ST NE,505,Midtown,E,33.78,-84.38,2016,"33.78,-84.38",3
49,44,5,14,2,68.2,53.65,0.0,21.4,Clear,17654,RAPE,161350932,05/14/2016,2060 ALISON CT SW,410,Campbellton Road,R,33.7,-84.46,2016,"33.7,-84.46",4
50,45,5,19,1,70.1,78.14,0.03,13.2,"Rain, Overcast",17202,RAPE,161402185,05/19/2016,134 JOSEPH LOWRY BLVD,101,Washington Park,K,33.76,-84.42,2016,"33.76,-84.42",4
51,46,5,25,1,74.8,51.92,0.0,9.7,Clear,16742,RAPE,161463144,05/25/2016,226 PEACHTREE ST SW,512,West End,T,33.73,-84.41,2016,"33.73,-84.41",4
52,47,5,28,2,76.1,53.09,0.0,10.4,Clear,16455,RAPE,161490566,05/28/2016,1447 KENNESAW DR NW,107,Grove Park,J,33.77,-84.44,2016,"33.77,-84.44",3
53,47,5,28,2,76.1,53.09,0.0,10.4,Clear,16462,RAPE,161490755,05/28/2016,3672 RUBY H HARPER BLVD SE,313,Blair Villa/Poole Creek,Z,33.65,-84.38,2016,"33.65,-84.38",3
54,48,5,31,1,80.1,54.43,0.0,8.1,Partially cloudy,16241,RAPE,161521927,05/31/2016,400 W PEACHTREE ST NW,504,Downtown,M,33.77,-84.39,2016,"33.77,-84.39",4
55,49,6,1,1,78.0,63.2,0.0,12.1,Partially cloudy,21085,RAPE,161532139,06/01/2016,199 GRIFFIN ST NW ,102,Vine City,L,33.76,-84.41,2016,"33.76,-84.41",4
56,50,6,3,1,80.6,61.73,0.0,9.7,Partially cloudy,20992,RAPE,161552909,06/03/2016,866 West Peachtree St NW,505,Midtown,E,33.78,-84.39,2016,"33.78,-84.39",4
57,51,6,4,1,79.6,63.46,0.0,13.3,Partially cloudy,20864,RAPE,161560889,06/04/2016,2543 PINE TREE RD NE,210,Pine Hills,B,33.83,-84.36,2016,"33.83,-84.36",3
58,52,6,7,2,78.6,63.68,0.13,16.1,"Rain, Partially cloudy",20638,RAPE,161590410,06/07/2016,165 COURTLAND ST NE,510,Downtown,M,33.76,-84.38,2016,"33.76,-84.38",3
59,52,6,7,2,78.6,63.68,0.13,16.1,"Rain, Partially cloudy",20650,RAPE,161590835,06/07/2016,1791 THOMASVILLE DR SE,308,Thomasville Heights,Z,33.7,-84.35,2016,"33.7,-84.35",3
60,53,6,9,2,74.5,50.76,0.0,7.5,Partially cloudy,20471,RAPE,161610787,06/09/2016,2025 PEACHTREE RD,207,,E,33.81,-84.39,2016,"33.81,-84.39",2
61,53,6,9,2,74.5,50.76,0.0,7.5,Partially cloudy,20492,RAPE,161611656,06/09/2016,3164 HUMPHRIES DR SE,312,Orchard Knob,Z,33.67,-84.38,2016,"33.67,-84.38",3
62,54,6,11,1,82.4,51.95,0.0,8.1,Partially cloudy,20359,RAPE,161631310,06/11/2016,232 FORSYTH ST SW,512,Downtown,M,33.75,-84.4,2016,"33.75,-84.4",3
63,55,6,12,1,83.3,61.45,0.0,12.1,Partially cloudy,20249,RAPE,161640719,06/12/2016,210 HARWELL PL NW,112,Collier Heights,I,33.78,-84.49,2016,"33.78,-84.49",4
64,56,6,14,1,79.8,70.94,0.99,15.5,"Rain, Partially cloudy",20067,RAPE,161660058,06/14/2016,85 MOUNT ZION RD SW,312,Glenrose Heights,Z,33.67,-84.39,2016,"33.67,-84.39",3
65,57,6,16,2,81.4,63.47,0.16,12.1,"Rain, Partially cloudy",19926,RAPE,161682730,06/16/2016,80 JESSE HILL JR DR,511,Downtown,M,33.75,-84.39,2016,"33.75,-84.39",3
66,57,6,16,2,81.4,63.47,0.16,12.1,"Rain, Partially cloudy",19904,RAPE,161682009,06/16/2016,80 JESSE HILL JR DR SE,510,Penelope Neighbors,J,33.75,-84.45,2016,"33.75,-84.45",4
67,58,6,19,1,75.7,53.67,0.0,13.8,Partially cloudy,19628,RAPE,161710759,06/19/2016,232 FORSYTH ST,512,Downtown,M,33.75,-84.4,2016,"33.75,-84.4",3
68,59,6,24,1,84.7,55.51,0.0,12.1,Partially cloudy,19212,RAPE,161762056,06/24/2016,267 MARIETTA ST ,508,Downtown,M,33.76,-84.39,2016,"33.76,-84.39",3
69,60,6,26,1,79.4,69.21,0.36,12.6,"Rain, Partially cloudy",19105,RAPE,161780007,06/26/2016,565 WELLS ST,305,Mechanicsville,V,33.74,-84.41,2016,"33.74,-84.41",4
70,61,6,28,1,78.2,75.56,0.36,15.0,"Rain, Partially cloudy",18921,RAPE,161801908,06/28/2016,1073 HOLLYWOOD RD NW,110,Almond Park,G,33.78,-84.46,2016,"33.78,-84.46",4
71,62,6,29,2,81.6,61.52,0.0,9.2,Partially cloudy,18859,RAPE,161811818,06/29/2016,171 ROSSER ST SW,104,Ashview Heights,T,33.75,-84.42,2016,"33.75,-84.42",4
72,62,6,29,2,81.6,61.52,0.0,9.2,Partially cloudy,18850,RAPE,161811530,06/29/2016,550 PEACHTREE ST NE,506,English Avenue,L,33.76,-84.42,2016,"33.76,-84.42",4
73,63,7,1,1,83.1,57.13,0.0,13.2,Partially cloudy,23666,RAPE,161830519,07/01/2016,175 15TH ST NE,502,Ansley Park,E,33.79,-84.38,2016,"33.79,-84.38",3
74,64,7,4,2,84.3,64.56,0.02,12.7,"Rain, Partially cloudy",23470,RAPE,161860328,07/04/2016,478 PEACHTREE ST.,502,Downtown,M,33.77,-84.39,2016,"33.77,-84.39",4
75,64,7,4,2,84.3,64.56,0.02,12.7,"Rain, Partially cloudy",23502,RAPE,161861852,07/04/2016,360 PHARR RD. NE ,206,Buckhead Village,B,33.84,-84.38,2016,"33.84,-84.38",3
76,65,7,5,1,79.2,79.38,0.56,16.1,"Rain, Partially cloudy",23425,RAPE,161872726,07/05/2016,695 NORTH AVE NE @MASQUERADE CLUB,603,Old Fourth Ward,M,33.77,-84.36,2016,"33.77,-84.36",3
77,66,7,6,2,76.3,82.65,0.76,14.4,"Rain, Partially cloudy",23334,RAPE,161880132,07/06/2016,2760 GREENBRIAR PKWY SW,411,Greenbriar,R,33.69,-84.49,2016,"33.69,-84.49",4
78,66,7,6,2,76.3,82.65,0.76,14.4,"Rain, Partially cloudy",23271,RAPE,161880869,07/06/2016,1871 PLAZA LN SW,410,Campbellton Road,R,33.7,-84.45,2016,"33.7,-84.45",4
79,67,7,10,1,80.9,63.84,0.0,11.5,Partially cloudy,22976,RAPE,161920372,07/10/2016,900 CAMILLA ST,102,Ashview Heights,T,33.75,-84.42,2016,"33.75,-84.42",4
80,68,7,16,1,80.4,67.92,0.0,12.8,Partially cloudy,22510,RAPE,161982284,07/16/2016,960 NEW TOWN CIR SE,308,Thomasville Heights,Z,33.71,-84.36,2016,"33.71,-84.36",4
81,69,7,18,1,82.2,68.75,0.01,11.5,"Rain, Partially cloudy",22376,RAPE,162002199,07/18/2016,1090 NORTHSIDE DR NW,501,Home Park,E,33.78,-84.41,2016,"33.78,-84.41",3
82,70,7,19,1,83.1,67.93,0.28,11.5,"Rain, Partially cloudy",22212,RAPE,162011186,07/19/2016,3255 KINGSTON RD,112,Downtown,M,33.75,-84.39,2016,"33.75,-84.39",3
83,71,7,21,1,80.7,71.39,0.03,17.8,"Rain, Partially cloudy",22022,RAPE,162022785,07/21/2016,465 BOULEVARD NE,601,Old Fourth Ward,M,33.77,-84.37,2016,"33.77,-84.37",4
84,72,7,22,2,81.0,70.77,0.0,8.6,Partially cloudy,21949,RAPE,162040298,07/22/2016,1167 JOSEPH BOONE,106,Mozley Park,K,33.75,-84.43,2016,"33.75,-84.43",4
85,72,7,22,2,81.0,70.77,0.0,8.6,Partially cloudy,21952,RAPE,162040607,07/22/2016,3200 STONE RD SW,411,Greenbriar,R,33.67,-84.49,2016,"33.67,-84.49",4
86,73,7,23,2,82.7,68.69,0.0,9.7,Partially cloudy,21877,RAPE,162050737,07/23/2016,ELLIS ST NE / I-75-85 SB RAMP NE,510,Sweet Auburn,M,33.76,-84.38,2016,"33.76,-84.38",3
87,73,7,23,2,82.7,68.69,0.0,9.7,Partially cloudy,21894,RAPE,162051169,07/23/2016,3324 PEACHTREE RD,208,North Buckhead,B,33.85,-84.37,2016,"33.85,-84.37",3
88,74,7,24,1,83.9,66.25,0.0,9.9,Partially cloudy,21849,RAPE,162062291,07/24/2016,532 CLEVELAND AVE SE,310,Browns Mill Park,Z,33.68,-84.37,2016,"33.68,-84.37",3
89,75,7,30,1,78.6,80.29,0.76,8.6,"Rain, Partially cloudy",21236,RAPE,162120751,07/30/2016,422 TEMPLE ST NW,106,Bankhead,K,33.77,-84.42,2016,"33.77,-84.42",4
90,76,8,1,3,78.5,81.47,0.01,10.8,"Rain, Partially cloudy",26402,RAPE,162141288,08/01/2016,845 SPRING ST NW,505,Midtown,E,33.78,-84.39,2016,"33.78,-84.39",4
91,76,8,1,3,78.5,81.47,0.01,10.8,"Rain, Partially cloudy",26360,RAPE,162140123,08/01/2016,180 UNIVERSITY AVE SW,302,Pittsburgh,V,33.72,-84.39,2016,"33.72,-84.39",3
92,76,8,1,3,78.5,81.47,0.01,10.8,"Rain, Partially cloudy",26459,RAPE,162142387,08/01/2016,2749 DALE CREEK DR NW,112,Collier Heights,I,33.76,-84.48,2016,"33.76,-84.48",4
93,77,8,4,3,81.7,74.66,0.18,9.7,"Rain, Partially cloudy",26103,RAPE,162170038,08/04/2016,35 NORTHSIDE DR SW,101,Atlanta University Center,T,33.75,-84.4,2016,"33.75,-84.4",3
94,77,8,4,3,81.7,74.66,0.18,9.7,"Rain, Partially cloudy",26156,RAPE,162162483,08/04/2016,432 SW BECKWITH ST,101,Atlanta University Center,T,33.75,-84.4,2016,"33.75,-84.4",3
95,77,8,4,3,81.7,74.66,0.18,9.7,"Rain, Partially cloudy",26125,RAPE,162172340,08/04/2016,2246 MEMORIAL DR SE,611,Kirkwood,O,33.75,-84.31,2016,"33.75,-84.31",4
96,78,8,7,1,83.2,73.19,0.16,12.1,"Rain, Partially cloudy",25916,RAPE,162202076,08/07/2016,1181 JOSEPH E BOONE BLVD NW,106,Bankhead,K,33.76,-84.43,2016,"33.76,-84.43",4
97,79,8,10,1,79.6,79.07,0.16,11.0,"Rain, Overcast",25575,RAPE,162230232,08/10/2016,880 ROCK ST NW,105,Vine City,L,33.76,-84.42,2016,"33.76,-84.42",4
98,80,8,11,1,81.9,71.03,0.0,10.9,Partially cloudy,25522,RAPE,162241550,08/11/2016,1075 HUBBARD ST SW,305,Pittsburgh,V,33.73,-84.4,2016,"33.73,-84.4",3
99,81,8,12,1,83.0,70.08,0.0,12.1,Partially cloudy,25455,RAPE,162251097,08/12/2016,1 GEORGIA DOME DR NW @Multiple,507,Downtown,M,33.76,-84.4,2016,"33.76,-84.4",3
100,82,8,13,2,81.1,71.6,0.03,9.2,"Rain, Partially cloudy",25396,RAPE,162260349,08/13/2016,535 LEE ST SW,401,West End,T,33.74,-84.41,2016,"33.74,-84.41",4
101,82,8,13,2,81.1,71.6,0.03,9.2,"Rain, Partially cloudy",25403,RAPE,162260485,08/13/2016,215 W WIEUCA RD NW,202,Chastain Park,A,33.88,-84.39,2016,"33.88,-84.39",3
102,83,8,14,1,82.3,66.64,0.0,9.7,Partially cloudy,25248,RAPE,162270675,08/14/2016,232 FORSYTH ST SW,512,Downtown,M,33.75,-84.4,2016,"33.75,-84.4",3
103,84,8,16,2,81.3,71.8,0.0,9.9,Partially cloudy,25120,RAPE,162292382,08/16/2016,710 PEACHTREE ST NE,505,Midtown,E,33.77,-84.38,2016,"33.77,-84.38",4
104,84,8,16,2,81.3,71.8,0.0,9.9,Partially cloudy,25139,RAPE,162292864,08/16/2016,740 GARIBALDI ST SW,303,Mechanicsville,V,33.73,-84.4,2016,"33.73,-84.4",3
105,85,8,29,1,81.5,63.36,0.0,12.8,Partially cloudy,23926,RAPE,162420761,08/29/2016,800 MCDANIEL ST SW,302,Pittsburgh,V,33.73,-84.4,2016,"33.73,-84.4",3
106,86,8,30,1,80.7,64.33,0.0,13.9,Clear,23906,RAPE,162431515,08/30/2016,546 ROCKWELL ST,302,Pittsburgh,V,33.73,-84.41,2016,"33.73,-84.41",4
107,87,9,1,1,80.6,70.03,0.65,8.1,"Rain, Partially cloudy",29095,RAPE,162450954,09/01/2016,2500 CENTER ST NW,113,Carey Park,G,33.79,-84.47,2016,"33.79,-84.47",4
108,88,9,5,2,77.1,65.16,0.0,6.4,Clear,28777,RAPE,162492135,09/05/2016,366 PEACHTREE ST NE,508,Downtown,M,33.76,-84.39,2016,"33.76,-84.39",3
109,88,9,5,2,77.1,65.16,0.0,6.4,Clear,28771,RAPE,162491969,09/05/2016,2410 BAKER RD NW,109,Center Hill,J,33.77,-84.47,2016,"33.77,-84.47",4
110,89,9,7,1,79.4,57.4,0.0,6.9,Clear,28509,RAPE,162510040,09/07/2016,435 JOSEPH E LOWERY BLVD SW,104,Harris Chiles,T,33.74,-84.42,2016,"33.74,-84.42",4
111,90,9,9,2,80.4,55.9,0.0,9.9,Partially cloudy,28358,RAPE,162530176,09/09/2016,302 AUBURN AVE NE,604,Sweet Auburn,M,33.76,-84.38,2016,"33.76,-84.38",3
112,90,9,9,2,80.4,55.9,0.0,9.9,Partially cloudy,28419,RAPE,162532796,09/09/2016,450 16TH ST NW,501,Home Park,E,33.79,-84.4,2016,"33.79,-84.4",4
113,91,9,10,1,80.1,57.95,0.0,9.2,Partially cloudy,28354,RAPE,162541393,09/10/2016,525 PEEPLES ST SW @WEST END BRANCH,401,West End,T,33.74,-84.42,2016,"33.74,-84.42",4
114,92,9,11,1,80.6,63.1,0.0,10.3,Partially cloudy,28192,RAPE,162552434,09/11/2016,400 W PEACHTREE ST NW,504,Downtown,M,33.77,-84.39,2016,"33.77,-84.39",4
115,93,9,22,1,78.2,64.29,0.0,11.0,Clear,27118,RAPE,162662251,09/22/2016,2991 MIDDLETON DR,111,,I,33.75,-84.49,2016,"33.75,-84.49",4
116,94,9,24,1,79.7,63.7,0.0,5.3,Clear,26942,RAPE,162682110,09/24/2016,2981 JONESBORO RD SE,313,Browns Mill Park,Z,33.69,-84.39,2016,"33.69,-84.39",3
117,95,10,3,1,71.2,61.92,0.0,6.9,Partially cloudy,2463,RAPE,162771943,10/03/2016,3042 MIDDLETON RD NW,111,,I,33.75,-84.49,2016,"33.75,-84.49",4
118,96,10,4,1,73.2,63.29,0.0,16.1,Partially cloudy,2383,RAPE,162772768,10/04/2016,241 FORSYTH ST SW,512,Downtown,M,33.75,-84.4,2016,"33.75,-84.4",3
119,97,10,6,1,69.8,66.0,0.0,15.0,Clear,2171,RAPE,162801358,10/06/2016,1552 DONALD LEE HOLLOWELL PKWY NW,107,Grove Park,J,33.77,-84.44,2016,"33.77,-84.44",3
120,98,10,16,1,70.0,72.85,0.04,8.1,"Rain, Partially cloudy",1264,RAPE,162900760,10/16/2016,657 ECHO ST NW,103,English Avenue,L,33.77,-84.41,2016,"33.77,-84.41",3
121,99,10,19,1,74.3,63.47,0.0,6.9,Partially cloudy,972,RAPE,162930131,10/19/2016,3211 MARTIN L KING JR DR NW ,111,,I,33.75,-84.49,2016,"33.75,-84.49",4
122,100,10,21,1,64.4,56.44,0.0,23.6,Partially cloudy,831,RAPE,162952497,10/21/2016,418 LOVEJOY ST NW,504,Downtown,M,33.77,-84.39,2016,"33.77,-84.39",4
123,101,10,24,1,62.7,50.02,0.0,15.0,Partially cloudy,632,RAPE,162982855,10/24/2016,1097 WESTVIEW DR SW,104,Ashview Heights,T,33.75,-84.42,2016,"33.75,-84.42",4
124,102,10,25,2,63.0,52.67,0.0,9.2,Clear,547,RAPE,162993272,10/25/2016,OAK ST NW / DONALD LEE HOLLOWELL PKWY NW,512,Downtown,M,33.75,-84.39,2016,"33.75,-84.39",3
125,102,10,25,2,63.0,52.67,0.0,9.2,Clear,474,RAPE,162990807,10/25/2016,626 VINE ST NW,103,English Avenue,L,33.77,-84.41,2016,"33.77,-84.41",3
126,103,10,30,1,68.8,59.29,0.0,9.7,Clear,153,RAPE,163040881,10/30/2016,2265 CAMPBELLTON RD SW,410,Adams Park,R,33.7,-84.46,2016,"33.7,-84.46",4
127,104,11,18,1,60.2,54.4,0.0,7.5,Clear,3574,RAPE,163231572,11/18/2016,50 UPPER ALABAMA ST SW,511,Downtown,M,33.75,-84.39,2016,"33.75,-84.39",3
128,105,11,21,1,46.5,26.25,0.0,15.0,Clear,3342,RAPE,163261157,11/21/2016,2199 BAGWELL DR SW,310,Polar Rock,Z,33.69,-84.4,2016,"33.69,-84.4",3
129,106,11,29,1,63.9,88.55,2.09,20.1,"Rain, Overcast",2751,RAPE,163340565,11/29/2016,640 QUEEN ST SW,402,West End,T,33.74,-84.43,2016,"33.74,-84.43",4
130,107,12,3,2,47.2,63.96,0.09,9.2,"Rain, Partially cloudy",9545,RAPE,163380400,12/03/2016,3227 ROSWELL RD NE,208,Buckhead Forest,B,33.84,-84.38,2016,"33.84,-84.38",3
131,107,12,3,2,47.2,63.96,0.09,9.2,"Rain, Partially cloudy",9569,RAPE,163381250,12/03/2016,234 MEMORIAL DR SW,512,Downtown,M,33.75,-84.4,2016,"33.75,-84.4",3
132,108,12,7,1,51.1,73.16,0.0,9.2,Partially cloudy,9225,RAPE,163420719,12/07/2016,4145 GRANT DR,405,Harland Terrace,I,33.75,-84.47,2016,"33.75,-84.47",4
