crime,number,date,location,beat,neighborhood,npu,lat,long,Month,Day,Year
BURGLARY-NONRES,163050430,10/31/2016,1899 CHESHIRE BRIDGE RD NE,213,Morningside/Lenox Park,F,33.80966,-84.36085,10,31,2016
BURGLARY-NONRES,163050536,10/31/2016,22 14TH ST NW,503,Midtown,E,33.78645,-84.38839,10,31,2016
AGG ASSAULT,163050541,10/31/2016,605 BOULEVARD NE ,603,Old Fourth Ward,M,33.769009999999994,-84.37444,10,31,2016
LARCENY-FROM VEHICLE,163050545,10/31/2016,170 BOULEVARD SE @FULTON COTTON MILL,606,Cabbagetown,N,33.75135,-84.36811999999999,10,31,2016
LARCENY-FROM VEHICLE,163050564,10/31/2016,660 9TH ST. NW.,501,Home Park,E,33.78051,-84.40903,10,31,2016
AUTO THEFT,163050571,10/31/2016,51 BOOKER ST NW,105,Washington Park,K,33.7562,-84.42019,10,31,2016
AGG ASSAULT,163050581,10/31/2016,3221 MARTIN L KING JR DR NW,111,,I,33.75284,-84.49256,10,31,2016
BURGLARY-NONRES,163050599,10/31/2016,1400 SPRING ST NW,502,Midtown,E,33.79213,-84.38929,10,31,2016
BURGLARY-RESIDENCE,163050681,10/31/2016,72 LANNON AVE NE,611,East Lake,O,33.75374,-84.29777,10,31,2016
LARCENY-FROM VEHICLE,163050687,10/31/2016,880 GLENWOOD AVE SE,606,Grant Park,W,33.74058,-84.35903,10,31,2016
AUTO THEFT,163050696,10/31/2016,987 HILBURN DR SE,612,East Atlanta,W,33.72745,-84.32765,10,31,2016
BURGLARY-RESIDENCE,163050714,10/31/2016,1227 LANIER BLVD,213,Morningside/Lenox Park,F,33.788270000000004,-84.34955,10,31,2016
AUTO THEFT,163050720,10/31/2016,39 CHAPPELL RD NW,105,Hunter Hills,K,33.75618,-84.43332,10,31,2016
AUTO THEFT,163050756,10/31/2016,2867 PEEK RD NW,112,Collier Heights,I,33.77599,-84.4806,10,31,2016
AUTO THEFT,163050796,10/31/2016,3040 HEADLAND DR SW,411,Greenbriar,R,33.689479999999996,-84.48818,10,31,2016
LARCENY-NON VEHICLE,163050811,10/31/2016,230 PEACHTREE ST NW,508,Downtown,M,33.75996,-84.38768,10,31,2016
AUTO THEFT,163050868,10/31/2016,1080 TUCKAWANNA DR SW,406,Audobon Forest West,I,33.72643,-84.48505,10,31,2016
LARCENY-NON VEHICLE,163050944,10/31/2016,395 NELSON ST SW,507,Castleberry Hill,M,33.75141,-84.40047,10,31,2016
LARCENY-NON VEHICLE,163050949,10/31/2016,200 PEACHTREE ST NW,508,Downtown,M,33.75889,-84.38806,10,31,2016
LARCENY-FROM VEHICLE,163050954,10/31/2016,2992 PEEK RD NW,112,Collier Heights,I,33.77536,-84.48451999999999,10,31,2016
LARCENY-NON VEHICLE,163050988,10/31/2016,1046 RIDGE AVE SW,304,Peoplestown,V,33.72631,-84.39189,10,31,2016
LARCENY-NON VEHICLE,163051014,10/31/2016,2525 PIEDMONT RD NE @HOME DEPOT,211,Lindbergh/Morosgo,B,33.824,-84.36521,10,31,2016
LARCENY-NON VEHICLE,163051032,10/31/2016,1671 S GORDON ST SW,404,Westview,T,33.73989,-84.44255,10,31,2016
LARCENY-FROM VEHICLE,163051088,10/31/2016,660 BOULEVARD NE,603,Old Fourth Ward,M,33.77272,-84.37165999999999,10,31,2016
LARCENY-FROM VEHICLE,163051141,10/31/2016,1685 RICHMOND AVE SE,307,Lakewood Heights,Y,33.70832,-84.37838,10,31,2016
AUTO THEFT,163051222,10/31/2016,590 CASCADE AVE SW ,404,Westview,T,33.74066,-84.43539,10,31,2016
LARCENY-FROM VEHICLE,163051237,10/31/2016,759 POLLARD BLVD SW,304,Summerhill,V,33.733979999999995,-84.39099,10,31,2016
AUTO THEFT,163051244,10/31/2016,202 ANDERSON AVE NW,108,Dixie Hills,J,33.75959,-84.4506,10,31,2016
LARCENY-FROM VEHICLE,163051261,10/31/2016,1778 PIEDMONT RD,213,Piedmont Heights,F,33.80368,-84.36731999999999,10,31,2016
BURGLARY-RESIDENCE,163051293,10/31/2016,1427 WESTMONT RD SW,403,Venetian Hills,S,33.71631,-84.4379,10,31,2016
LARCENY-NON VEHICLE,163051319,10/31/2016,933 NEAL ST NW,106,Bankhead,K,33.76661,-84.41805,10,31,2016
LARCENY-FROM VEHICLE,163051321,10/31/2016,1302 WESTRIDGE RD SW,408,Venetian Hills,S,33.71967,-84.4466,10,31,2016
LARCENY-FROM VEHICLE,163051374,10/31/2016,1919 METROPOLITAN PKWY SW,306,Sylvan Hills,X,33.70278,-84.41017,10,31,2016
LARCENY-NON VEHICLE,163051393,10/31/2016,2 PEACHTREE ST SW,511,Downtown,M,33.754090000000005,-84.39054,10,31,2016
BURGLARY-RESIDENCE,163051400,10/31/2016,1062 ASHBY GRV SW,104,Ashview Heights,T,33.7497,-84.42246,10,31,2016
LARCENY-NON VEHICLE,163051411,10/31/2016,1001 PONCE DE LEON AVE NE,602,Poncey-Highland,N,33.7734,-84.35467,10,31,2016
AUTO THEFT,163051454,10/31/2016,2641 DONALD LEE HOLLOWELL PKWY NW,109,Center Hill,J,33.776309999999995,-84.47332,10,31,2016
BURGLARY-RESIDENCE,163051529,10/31/2016,55 SPRINGSIDE DR SE,312,Glenrose Heights,Z,33.67601,-84.38693,10,31,2016
LARCENY-NON VEHICLE,163051533,10/31/2016,720 DONALD LEE HOLLOWELL PKWY NW,103,English Avenue,L,33.77276,-84.41089000000001,10,31,2016
LARCENY-NON VEHICLE,163051545,10/31/2016,725 W PEACHTREE ST NE,505,Midtown,E,33.774370000000005,-84.38722,10,31,2016
LARCENY-NON VEHICLE,163051591,10/31/2016,236 AUBURN AVE NE @ODD FELLOWS ANNEX,510,Downtown,M,33.75562,-84.37991,10,31,2016
AUTO THEFT,163051634,10/31/2016,40 PEACHTREE VALLEY RD NE,207,,E,33.810959999999994,-84.39145,10,31,2016
LARCENY-FROM VEHICLE,163051659,10/31/2016,1510 ELLSWORTH INDUSTRIAL BLVD NW,203,Blandtown,D,33.79625,-84.42787,10,31,2016
AGG ASSAULT,163051713,10/31/2016,4553 SAHARA DR SW,413,Fairway Acres,P,33.68594,-84.53721,10,31,2016
AGG ASSAULT,163051805,10/31/2016,1627 OAK KNOLL TER SE,307,Lakewood Heights,Y,33.70874,-84.3781,10,31,2016
BURGLARY-RESIDENCE,163051841,10/31/2016,387 FENNEL WAY SW,407,Wilson Mill Meadows,H,33.752520000000004,-84.5183,10,31,2016
AUTO THEFT,163051842,10/31/2016,785 LEE ST SW,401,West End,T,33.733579999999996,-84.41449,10,31,2016
LARCENY-NON VEHICLE,163051997,10/31/2016,1997 DELOWE DR SW,410,Campbellton Road,R,33.700109999999995,-84.45772,10,31,2016
LARCENY-FROM VEHICLE,163052000,10/31/2016,1409 PEACHTREE ST NE,502,Midtown,E,33.79356,-84.38609,10,31,2016
LARCENY-FROM VEHICLE,163052048,10/31/2016,75 MARTIN L KING JR DR SW,511,Downtown,M,33.75119,-84.38996,10,31,2016
LARCENY-FROM VEHICLE,163052076,10/31/2016,PALMETTO AVE SW / ABBOTT ST SW,104,Ashview Heights,T,33.7518,-84.41915,10,31,2016
AUTO THEFT,163052102,10/31/2016,170 NORTHSIDE DR SW,507,Castleberry Hill,M,33.7499,-84.40371,10,31,2016
LARCENY-FROM VEHICLE,163052163,10/31/2016,1422 W PEACHTREE ST NW,502,Midtown,E,33.79345,-84.3882,10,31,2016
LARCENY-FROM VEHICLE,163052219,10/31/2016,2020 BOLTON RD NW,203,Riverside,D,33.81125,-84.47594000000001,10,31,2016
ROBBERY-PEDESTRIAN,163052225,10/31/2016,161 FLORIDA AVE SW,405,Florida Heights,I,33.75222,-84.46435,10,31,2016
BURGLARY-RESIDENCE,163052238,10/31/2016,2325 PINE GROVE DR NW,201,,C,33.81897,-84.44749,10,31,2016
AUTO THEFT,163052325,10/31/2016,2841 GREENBRIAR PKWY SW @GREENBRIAR MALL,411,Greenbriar,R,33.68677,-84.49773,10,31,2016
LARCENY-FROM VEHICLE,163052333,10/31/2016,690 11TH ST NW,501,Home Park,E,33.78267,-84.40983,10,31,2016
AGG ASSAULT,163052356,10/31/2016,482 HAMILTON ST SE,606,Ormewood Park,W,33.74067,-84.35602,10,31,2016
ROBBERY-PEDESTRIAN,163052399,10/31/2016,49 BOULEVARD SE,604,Sweet Auburn,M,33.75253,-84.3721,10,31,2016
LARCENY-FROM VEHICLE,163052468,10/31/2016,36 DANIEL ST SE,604,Old Fourth Ward,M,33.75339,-84.3708,10,31,2016
LARCENY-NON VEHICLE,163052499,10/31/2016,3721 CAMPBELLTON RD SW @BEN HILL PLAZA SC,412,Ben Hill Acres,P,33.691359999999996,-84.51037,10,31,2016
AUTO THEFT,163052536,10/31/2016,3669 POWERS FERRY RD NE,209,East Chastain Park,B,33.85641,-84.38288,10,31,2016
AUTO THEFT,163052561,10/31/2016,3393 PEACHTREE RD NE ,210,Lenox,B,33.846759999999996,-84.36211999999999,10,31,2016
LARCENY-NON VEHICLE,163052578,10/31/2016,3405 LENOX RD NE @MARRIOTT,210,Lenox,B,33.848,-84.35947,10,31,2016
BURGLARY-RESIDENCE,163052751,10/31/2016,6111 RENAISSANCE WAY NE,603,Old Fourth Ward,M,33.76572,-84.3788,10,31,2016
LARCENY-FROM VEHICLE,163052769,10/31/2016,1544 PIEDMONT AVE NE,213,Piedmont Heights,F,33.79789,-84.37101,10,31,2016
AGG ASSAULT,163052792,10/31/2016,1983 MARTIN L KING JR DR NW,108,,I,33.75014,-84.45241,10,31,2016
BURGLARY-RESIDENCE,163052818,10/31/2016,1620 HOLLYWOOD RD NW,113,Scotts Crossing,G,33.79988,-84.47023,10,31,2016
LARCENY-FROM VEHICLE,163052842,10/31/2016,1630 BOULEVARD LORRAINE SW,409,Adams Park,R,33.71144,-84.46145,10,31,2016
LARCENY-FROM VEHICLE,163042583,10/31/2016,21 OAKRIDGE AVE NE,611,East Lake,O,33.75223,-84.29326,10,31,2016
AUTO THEFT,163042614,10/30/2016,1068 EUCLID AVE NE,602,Inman Park,N,33.76339,-84.35197,10,30,2016
LARCENY-FROM VEHICLE,163042617,10/30/2016,3760 PRINCETON LAKES PKWY SW,414,Princeton Lakes,P,33.65806,-84.51051,10,30,2016
AGG ASSAULT,163042641,10/30/2016,883 N GRAND AVE NW,109,Center Hill,J,33.77924,-84.46204,10,30,2016
LARCENY-FROM VEHICLE,163041623,10/30/2016,3012 JONESBORO RD SE,313,South River Gardens,Z,33.67225,-84.37156,10,30,2016
LARCENY-NON VEHICLE,163041645,10/30/2016,860 JUNIPER ST NE,505,Midtown,E,33.77817,-84.38351,10,30,2016
LARCENY-FROM VEHICLE,163041760,10/30/2016,2043 CHESHIRE BRIDGE RD NE,213,Lindridge/Martin Manor,F,33.81123,-84.35601,10,30,2016
AUTO THEFT,163041810,10/30/2016,1400 NORTHSIDE DR NW,207,Berkeley Park,D,33.79289,-84.40821,10,30,2016
LARCENY-FROM VEHICLE,163041840,10/30/2016,2302 MARIETTA BLVD NW,203,Bolton,D,33.81845,-84.45154000000001,10,30,2016
LARCENY-FROM VEHICLE,163041921,10/30/2016,1968 PEACHTREE RD NW @PIEDMONT HOSPITAL,207,,E,33.81,-84.39583,10,30,2016
LARCENY-FROM VEHICLE,163041922,10/30/2016,2106 GOLDEN DAWN DR SW,409,Southwest,R,33.69748,-84.49082,10,30,2016
BURGLARY-RESIDENCE,163041960,10/30/2016,369 MCDANIEL ST SW,101,The Villages at Castleberry H,T,33.74505,-84.40523,10,30,2016
LARCENY-NON VEHICLE,163042006,10/30/2016,300 N HIGHLAND AVE NE,602,Inman Park,N,33.762840000000004,-84.35859,10,30,2016
LARCENY-NON VEHICLE,163042011,10/30/2016,1619 WESTWOOD AVE SW,404,Westview,T,33.73863,-84.44088,10,30,2016
ROBBERY-PEDESTRIAN,163042019,10/30/2016,2262 MACON DR,310,Browns Mill Park,Z,33.6811,-84.38875999999999,10,30,2016
LARCENY-NON VEHICLE,163042043,10/30/2016,2740 GREENBRIAR PKWY SW,411,Greenbriar,R,33.688959999999994,-84.48909,10,30,2016
LARCENY-NON VEHICLE,163042048,10/30/2016,3170 DONALD LEE HOLLOWELL PKWY NW,112,Collier Heights,I,33.78577,-84.49055,10,30,2016
AUTO THEFT,163042099,10/30/2016,465 FAIR ST SW,507,Castleberry Hill,M,33.748740000000005,-84.40271,10,30,2016
LARCENY-FROM VEHICLE,163042165,10/30/2016,80 JESSE HILL JR DR SE @GRADY,510,Downtown,M,33.75168,-84.38198,10,30,2016
LARCENY-FROM VEHICLE,163042234,10/30/2016,1051 W PEACHTREE ST NE,503,Midtown,E,33.78346,-84.38772,10,30,2016
BURGLARY-RESIDENCE,163042296,10/30/2016,600 GREENSFERRY AVE SW,101,The Villages at Castleberry H,T,33.74662,-84.40755,10,30,2016
BURGLARY-RESIDENCE,163042297,10/30/2016,3354 EISENHOWER CIR SE,313,South River Gardens,Z,33.65775,-84.35689,10,30,2016
BURGLARY-RESIDENCE,163042330,10/30/2016,384 RALPH MCGILL BLVD NE,603,Old Fourth Ward,M,33.76409,-84.37484,10,30,2016
LARCENY-NON VEHICLE,163042332,10/30/2016,1791 S GORDON ST SW,404,Westwood Terrace,I,33.738620000000004,-84.44696,10,30,2016
AGG ASSAULT,163042364,10/30/2016,JONESBORO RD SE / I-285 EB RAMP SE,313,South River Gardens,Z,33.65109,-84.36662,10,30,2016
AGG ASSAULT,163042366,10/30/2016,201 WASHINGTON ST SW @CENTRAL PRESBYTERIA,512,Downtown,M,33.749829999999996,-84.38905,10,30,2016
AUTO THEFT,163042457,10/30/2016,476 JOSEPH E. BOONE BLVD,106,English Avenue,L,33.76343,-84.40294,10,30,2016
AUTO THEFT,163042471,10/30/2016,METROPOLITAN PKWY SW / SHELTON AVE SW,301,Pittsburgh,V,33.73424,-84.40779,10,30,2016
BURGLARY-RESIDENCE,163042484,10/30/2016,439 OAKSIDE DR SW,407,Wisteria Gardens,H,33.75908,-84.51236,10,30,2016
ROBBERY-PEDESTRIAN,163042531,10/30/2016,2298 DONALD LEE HOLLOWELL PKWY NW,109,Center Hill,J,33.77689,-84.46073,10,30,2016
AGG ASSAULT,163042569,10/30/2016,85 CHICAMAUGA AVE SW,104,Mozley Park,K,33.75273,-84.43243000000001,10,30,2016
LARCENY-FROM VEHICLE,163041170,10/30/2016,1903 DREW DR NW,110,West Highlands,G,33.79214,-84.44946999999999,10,30,2016
LARCENY-NON VEHICLE,163041205,10/30/2016,1609 STOKES AVE SW,404,Westview,T,33.74118,-84.4405,10,30,2016
AGG ASSAULT,163041226,10/30/2016,1246 JOSEPH E. BOONE,106,Hunter Hills,K,33.76324,-84.4285,10,30,2016
LARCENY-FROM VEHICLE,163041236,10/30/2016,100 LUCKIE ST NW,508,Downtown,M,33.75786,-84.39012,10,30,2016
ROBBERY-COMMERCIAL,163041261,10/30/2016,1623 MEMORIAL DR SE,610,Kirkwood,O,33.74718,-84.33423,10,30,2016
AUTO THEFT,163041268,10/30/2016,241 RALPH MCGILL BLVD NE,603,Old Fourth Ward,M,33.76332,-84.38124,10,30,2016
AGG ASSAULT,163041270,10/30/2016,532 CLEVELAND AVENUE SW,311,Hammond Park,X,33.68116,-84.4059,10,30,2016
LARCENY-FROM VEHICLE,163041291,10/30/2016,595 NORTH AVE NW,103,English Avenue,L,33.77013,-84.40695,10,30,2016
BURGLARY-RESIDENCE,163041318,10/30/2016,850 CANTERBURY OVERLOOK NE,210,Pine Hills,B,33.82915,-84.35835,10,30,2016
LARCENY-NON VEHICLE,163041447,10/30/2016,2539 PIEDMONT RD NE @TARGET - PIEDMONT,211,Lindbergh/Morosgo,B,33.82403,-84.36328,10,30,2016
LARCENY-NON VEHICLE,163041505,10/30/2016,3393 PEACHTREE RD NE @LENOX MALL,210,Lenox,B,33.846759999999996,-84.36211999999999,10,30,2016
ROBBERY-PEDESTRIAN,163041506,10/30/2016,1559 BRAEBURN DR SE,612,East Atlanta,W,33.73488,-84.33683,10,30,2016
LARCENY-FROM VEHICLE,163041523,10/30/2016,1075 PEACHTREE ST NE,503,Midtown,E,33.78363,-84.38295,10,30,2016
LARCENY-NON VEHICLE,163041530,10/30/2016,1380 ATLANTIC DR NW ,501,Atlantic Station,E,33.79282,-84.39779,10,30,2016
LARCENY-NON VEHICLE,163041536,10/30/2016,190 MARIETTA ST NW @CNN CENTER,507,Downtown,M,33.75757,-84.39487,10,30,2016
LARCENY-FROM VEHICLE,163041540,10/30/2016,640 BONAVENTURE AVE NE,602,Poncey-Highland,N,33.77197,-84.36135,10,30,2016
AUTO THEFT,163041573,10/30/2016,260 PEACHTREE ST @ PARKING,508,Downtown,M,33.76149,-84.38789,10,30,2016
LARCENY-FROM VEHICLE,163041606,10/30/2016,685 11TH ST NW,501,Home Park,E,33.78332,-84.40974,10,30,2016
AGG ASSAULT,163012858,10/30/2016,886 MARTIN LUTHER KING JR DR SW,101,Atlanta University Center,T,33.75456,-84.41663,10,30,2016
AGG ASSAULT,163040208,10/30/2016,450 THOMASVILLE BLVD SE,308,Thomasville Heights,Z,33.70515,-84.35925,10,30,2016
AUTO THEFT,163040217,10/30/2016,1176 CHATTAHOOCHEE AVE NW,203,Blandtown,D,33.80058,-84.42560999999999,10,30,2016
LARCENY-FROM VEHICLE,163040218,10/30/2016,983 PULLIAM ST SW,304,Peoplestown,V,33.72767,-84.3922,10,30,2016
LARCENY-FROM VEHICLE,163040256,10/30/2016,1176 CHATTAHOOCHEE AVE NW,203,Blandtown,D,33.80058,-84.42560999999999,10,30,2016
AGG ASSAULT,163040324,10/30/2016,2333 SPRINGDALE CIR SW,309,Perkerson,X,33.69105,-84.41578,10,30,2016
LARCENY-FROM VEHICLE,163040341,10/30/2016,316 NEW JERSEY AVE,108,Dixie Hills,J,33.76362,-84.45593000000001,10,30,2016
LARCENY-FROM VEHICLE,163040369,10/30/2016,226 COURTLAND ST NE,509,Downtown,M,33.76051,-84.38429000000001,10,30,2016
LARCENY-FROM VEHICLE,163040382,10/30/2016,62 HILLIARD ST NE ,604,Sweet Auburn,M,33.756209999999996,-84.3767,10,30,2016
BURGLARY-NONRES,163040427,10/30/2016,400 TRABERT AVE NW,207,Loring Heights,E,33.794290000000004,-84.40109,10,30,2016
LARCENY-FROM VEHICLE,163040454,10/30/2016,68 LUCY ST SE,604,Sweet Auburn,M,33.75247,-84.37389,10,30,2016
AGG ASSAULT,163040463,10/30/2016,240 RENAISSANCE PKWY NE,603,Old Fourth Ward,M,33.76866,-84.37904,10,30,2016
LARCENY-NON VEHICLE,163040478,10/30/2016,210 PEACHTREE ST NW @WESTIN HOTEL,508,Downtown,M,33.75943,-84.38837,10,30,2016
AUTO THEFT,163040537,10/30/2016,510 GARTRELL ST,604,Old Fourth Ward,M,33.75302,-84.37083,10,30,2016
LARCENY-FROM VEHICLE,163040542,10/30/2016,1104 BIRCH ST SW,306,Sylvan Hills,X,33.70527,-84.4244,10,30,2016
LARCENY-FROM VEHICLE,163040623,10/30/2016,2025 BOLTON RD,203,Riverside,D,33.81069,-84.47537,10,30,2016
BURGLARY-RESIDENCE,163040659,10/30/2016,218 LAUREL AVE SW,104,Mozley Park,K,33.749309999999994,-84.44001,10,30,2016
LARCENY-NON VEHICLE,163040674,10/30/2016,1545 NORTHSIDE DR NW,207,Loring Heights,E,33.79757,-84.40773,10,30,2016
BURGLARY-RESIDENCE,163040680,10/30/2016,3540 N CAMP CREEK PKWY SW,414,,P,33.67051,-84.50299,10,30,2016
LARCENY-FROM VEHICLE,163040708,10/30/2016,555 WHITEHALL ST SW,303,Mechanicsville,V,33.74297,-84.40628000000001,10,30,2016
RAPE,163040881,10/30/2016,2265 CAMPBELLTON RD SW,410,Adams Park,R,33.70498,-84.4621,10,30,2016
LARCENY-FROM VEHICLE,163040917,10/30/2016,480 JOHN WESLEY DOBBS AVE NE,604,Old Fourth Ward,M,33.759609999999995,-84.37127,10,30,2016
LARCENY-FROM VEHICLE,163040967,10/30/2016,711 COSMOPOLITAN DR NE,211,Lindbergh/Morosgo,B,33.82144,-84.36218000000001,10,30,2016
AGG ASSAULT,163041043,10/30/2016,169 TRINITY AVE SW,512,Downtown,M,33.74978,-84.39327,10,30,2016
LARCENY-FROM VEHICLE,163030036,10/29/2016,750 LOWNDES AVE SW,301,Adair Park,V,33.73417,-84.41136999999999,10,29,2016
LARCENY-NON VEHICLE,163030037,10/29/2016,1801 HOWELL MILL RD NW,204,Berkeley Park,D,33.80388,-84.41278,10,29,2016
LARCENY-FROM VEHICLE,163030165,10/29/2016,521 TIFT ST SW,303,Adair Park,V,33.7401,-84.41108,10,29,2016
LARCENY-FROM VEHICLE,163030241,10/29/2016,1058 HOWELL MILL RD NW,501,Home Park,E,33.78345,-84.4119,10,29,2016
LARCENY-FROM VEHICLE,163030298,10/29/2016,561 LOVEJOY ST NW,504,Downtown,M,33.76729,-84.39293,10,29,2016
LARCENY-FROM VEHICLE,163030315,10/29/2016,492 TODD STREET,604,Sweet Auburn,M,33.75192,-84.37231,10,29,2016
LARCENY-FROM VEHICLE,163030320,10/29/2016,JACKSON ST SE / CHAMBERLAIN ST SE,604,Sweet Auburn,M,33.75352,-84.37453000000001,10,29,2016
BURGLARY-NONRES,163030369,10/29/2016,695 PYLANT ST NE,601,Virginia Highland,F,33.77859,-84.3645,10,29,2016
AGG ASSAULT,163030379,10/29/2016,1400 NORTHSIDE DR NW,207,Berkeley Park,D,33.79289,-84.40821,10,29,2016
LARCENY-FROM VEHICLE,163030405,10/29/2016,3112 E SHADOWLAWN AVE NE,206,Buckhead Village,B,33.8399,-84.37436,10,29,2016
LARCENY-NON VEHICLE,163030432,10/29/2016,322 E PACES FERRY RD NE,206,Buckhead Village,B,33.83958,-84.37709,10,29,2016
LARCENY-NON VEHICLE,163030434,10/29/2016,468 EDGEWOOD AVE NE,604,Old Fourth Ward,M,33.76721,-84.37234000000001,10,29,2016
LARCENY-FROM VEHICLE,163030493,10/29/2016,2143 PEACHTREE RD NE,207,,E,33.81262,-84.39195,10,29,2016
LARCENY-FROM VEHICLE,163030497,10/29/2016,223 SNCC WAY SW,101,Atlanta University Center,T,33.7509,-84.41362,10,29,2016
AGG ASSAULT,163030568,10/29/2016,3725 PRINCETON LAKES PKWY SW,414,Princeton Lakes,P,33.65777,-84.50877,10,29,2016
ROBBERY-PEDESTRIAN,163030570,10/29/2016,827 JETT ST NW,103,English Avenue,L,33.76746,-84.41454,10,29,2016
LARCENY-FROM VEHICLE,163030620,10/29/2016,3179 PEACHTREE RD NE @MOONDOGS,206,Buckhead Village,B,33.841029999999996,-84.37544,10,29,2016
LARCENY-FROM VEHICLE,163030629,10/29/2016,112 COURTLAND ST NE,510,Downtown,M,33.7574,-84.38475,10,29,2016
ROBBERY-PEDESTRIAN,163030643,10/29/2016,1245 GLENWOOD AVE SE,612,East Atlanta,W,33.74006,-84.3466,10,29,2016
LARCENY-FROM VEHICLE,163030644,10/29/2016,529 PEACHTREE ST NE,509,Downtown,M,33.76896,-84.38486999999999,10,29,2016
LARCENY-FROM VEHICLE,163030712,10/29/2016,314 LUCKIE ST NW,508,Downtown,M,33.76296,-84.39669,10,29,2016
ROBBERY-COMMERCIAL,163030742,10/29/2016,639 MOROSGO DR,211,Lindbergh/Morosgo,B,33.823609999999995,-84.36726999999999,10,29,2016
AGG ASSAULT,163030756,10/29/2016,726 PRYOR ST SW,303,Mechanicsville,V,33.73487,-84.3945,10,29,2016
AUTO THEFT,163030777,10/29/2016,2637 OLD HAPEVILLE RD SW,310,Browns Mill Park,Z,33.68294,-84.39416999999999,10,29,2016
AUTO THEFT,163030841,10/29/2016,789 MAGNOLIA WAY NW,102,Vine City,L,33.75823,-84.41384000000001,10,29,2016
LARCENY-NON VEHICLE,163030929,10/29/2016,683 PEACHTREE ST NE,505,Midtown,E,33.773140000000005,-84.38493000000001,10,29,2016
LARCENY-NON VEHICLE,163030970,10/29/2016,3511 VILLA CIR SE,313,Blair Villa/Poole Creek,Z,33.65837,-84.37954,10,29,2016
LARCENY-FROM VEHICLE,163030981,10/29/2016,806 MAGNOLIA WAY,102,Vine City,L,33.75805,-84.41408,10,29,2016
BURGLARY-RESIDENCE,163031010,10/29/2016,1317 WESTMONT RD SW,403,Venetian Hills,S,33.71946,-84.43788,10,29,2016
LARCENY-FROM VEHICLE,163031051,10/29/2016,1853 TIGER FLOWERS DR NW,108,Dixie Hills,J,33.76,-84.44779,10,29,2016
AGG ASSAULT,163031069,10/29/2016,2767 METROPOLITAN PKWY SW,311,Hammond Park,X,33.68029,-84.40777,10,29,2016
LARCENY-NON VEHICLE,163031139,10/29/2016,210 SPRING ST SW,508,Downtown,M,33.7486,-84.39791,10,29,2016
AGG ASSAULT,163031149,10/29/2016,2775 VINEYARDS DR SE,312,Rosedale Heights,Z,33.67935,-84.3708,10,29,2016
BURGLARY-RESIDENCE,163031150,10/29/2016,1088 ASTOR AVE SW,306,Sylvan Hills,X,33.70143,-84.42407,10,29,2016
BURGLARY-RESIDENCE,163031182,10/29/2016,3003 PEACHTREE PARK DR NE,207,,E,33.81378,-84.38953000000001,10,29,2016
AUTO THEFT,163031256,10/29/2016,173 HALE ST NE,602,Inman Park,N,33.7591,-84.35911999999999,10,29,2016
LARCENY-FROM VEHICLE,163031259,10/29/2016,2400 DEFOORS FERRY RD NW,204,Underwood Hills,D,33.820479999999996,-84.4368,10,29,2016
LARCENY-NON VEHICLE,163031300,10/29/2016,170 CLEVELAND AVE SW,311,Glenrose Heights,Z,33.68072,-84.39451,10,29,2016
LARCENY-NON VEHICLE,163031340,10/29/2016,2539 PIEDMONT RD NE @TARGET - PIEDMONT,211,Lindbergh/Morosgo,B,33.82403,-84.36328,10,29,2016
